Year,Player,MIN,PTS,FGM,FGA,FTM,FTA,TOV,Is_All_Star
2011,Kevin Durant,38.9,27.7,9.1,19.7,7.6,8.7,2.8,All Star
2011,Carmelo Anthony,35.7,25.6,8.9,19.5,6.6,7.9,2.7,All Star
2011,Kobe Bryant,33.9,25.3,9,20,5.9,7.1,3,All Star
2011,Derrick Rose,37.4,25,8.8,19.7,5.9,6.9,3.4,All Star
2011,Monta Ellis,40.3,24.1,9.1,20.1,4.3,5.4,3.2,Regular
2011,Kevin Martin,32.5,23.5,6.9,15.8,7.4,8.4,2.3,Regular
2011,Dirk Nowitzki,34.3,23,8.4,16.2,5.4,6.1,1.9,All Star
2011,Russell Westbrook,34.7,21.9,7.5,17,6.5,7.7,3.9,All Star
2011,LaMarcus Aldridge,39.6,21.8,8.7,17.5,4.3,5.5,1.9,All Star
2011,Danny Granger,35,20.5,6.8,15.9,5,5.9,2.6,Regular
2011,Brook Lopez,35.2,20.4,7.9,16,4.7,6,2.1,Regular
2011,Kevin Love,35.8,20.2,6.6,14.1,5.8,6.8,2.1,All Star
2011,Zach Randolph,36.3,20.1,8,15.8,4,5.3,2,Regular
2011,Michael Beasley,32.3,19.2,7.7,17.1,3,4,2.7,Regular
2011,Paul Pierce,34.7,18.9,6.3,12.8,4.8,5.6,2.1,All Star
2011,David West,35,18.9,7.5,14.9,3.8,4.7,2,Regular
2011,Pau Gasol,37,18.8,7.2,13.7,4.3,5.2,1.7,Regular
2011,Al Jefferson,35.9,18.6,8,16.1,2.7,3.5,1.3,Regular
2011,Stephen Curry,33.6,18.6,6.8,14.2,2.9,3.1,3.1,Regular
2011,Luis Scola,32.6,18.3,7.7,15.3,2.9,3.9,2,Regular
2011,Tony Parker,32.4,17.5,7.1,13.7,3,3.9,2.6,All Star
2011,Luol Deng,39.1,17.4,6.5,14.1,3.1,4.1,1.9,All Star
2011,Manu Ginobili,30.3,17.4,5.5,12.7,4.5,5.1,2.2,Regular
2011,DeMar DeRozan,34.8,17.2,6.6,14.1,4,4.9,1.8,Regular
2011,Chauncey Billups,32.1,16.8,4.7,11,5.3,5.8,2.5,Regular
2011,Josh Smith,34.4,16.5,6.5,13.5,3,4.1,2.6,Regular
2011,Ray Allen,36.1,16.5,6,12.2,2.4,2.7,1.5,Regular
2011,David Lee,36.1,16.5,6.8,13.4,2.9,3.7,2.3,Regular
2011,Dorell Wright,38.4,16.4,5.9,14,2.2,2.8,1.6,Regular
2011,Wesley Matthews,33.6,15.9,5.4,11.9,3.2,3.8,1.7,Regular
2011,Chris Paul,36,15.9,5.4,11.6,4.2,4.8,2.2,All Star
2011,Jason Terry,31.3,15.8,6,13.3,2.2,2.6,2,Regular
2011,Gerald Wallace,37.9,15.7,5.4,12,3.9,5.3,2.1,Regular
2011,Jason Richardson,33.9,15.6,5.9,13.2,1.5,2,1.2,Regular
2011,Raymond Felton,36.5,15.5,5.7,13.4,2.6,3.2,2.9,Regular
2011,Al Horford,35.1,15.3,6.7,12,1.9,2.4,1.5,Regular
2011,Wilson Chandler,33.3,15.3,6,13.2,1.8,2.2,1.4,Regular
2011,Kevin Garnett,31.3,14.9,6.1,11.6,2.6,3.1,1.6,Regular
2011,Steve Nash,33.3,14.7,5.3,10.8,3,3.3,3.5,All Star
2011,Nene,30.5,14.5,5.4,8.7,3.8,5.4,1.8,Regular
2011,Lamar Odom,32.2,14.4,5.8,10.9,2,3,1.7,Regular
2011,D.J. Augustin,33.6,14.4,4.9,11.7,3.3,3.6,1.9,Regular
2011,Jamal Crawford,30.2,14.2,4.8,11.5,2.9,3.4,1.9,Regular
2011,Tayshaun Prince,32.8,14.1,6.1,12.8,1.5,2.2,1.1,Regular
2011,John Salmons,35,14,5.1,12.3,2.7,3.3,1.9,Regular
2011,Vince Carter,28.1,14,5.3,12.2,1.8,2.4,1.2,Regular
2011,Jrue Holiday,35.4,14,5.4,12.2,2.1,2.5,2.7,Regular
2011,JJ Hickson,28.2,13.8,5.4,11.7,3.1,4.6,2.2,Regular
2011,Lou Williams,23.3,13.7,4.3,10.6,3.9,4.7,1.4,Regular
2011,Kyle Lowry,34.2,13.5,4.6,10.8,2.6,3.3,2.1,Regular
2011,Tim Duncan,28.4,13.4,5.5,11,2.4,3.4,1.6,Regular
2011,Jeff Green,32.4,13.3,4.9,10.9,2.6,3.3,1.3,Regular
2011,Grant Hill,30.1,13.2,5,10.3,2.7,3.2,1.7,Regular
2011,Darren Collison,29.9,13.2,5,11,2.6,2.9,2.5,Regular
2011,Jameer Nelson,30.5,13.1,4.9,11,1.7,2.1,2.6,Regular
2011,CJ Miles,25.2,12.8,4.7,11.5,2,2.5,1.2,Regular
2011,Marcus Thornton,24.3,12.8,4.8,11.1,2,2.5,1.3,Regular
2011,Thaddeus Young,26,12.7,5.6,10.3,1.5,2.1,1.2,Regular
2011,Andre Miller,32.7,12.7,4.8,10.4,3.1,3.6,2.4,Regular
2011,Channing Frye,33,12.7,4.6,10.8,1.2,1.4,0.9,Regular
